"School name","Cases from school-based transmission"
"DEL AMO ELEMENTARY",0
"DELEVAN DRIVE ELEMENTARY",0
"DENKER AVENUE ELEMENTARY",0
"DIANE S LEICHMAN CAREER PREPARATORY AND TRANSITION CENTER",0
"DIANE WATSON AC2T",0
"DIEGO RIVERA LEARNING COMPLEX COMMUNICATION & TECHNOLOGY",0
"DIEGO RIVERA LEARNING COMPLEX GREEN DESIGN STEAM ACADEMY",0
"DIEGO RIVERA LEARNING COMPLEX PERFORMING ARTS",0
"DIEGO RIVERA LEARNING COMPLEX PUBLIC SERVICE COMMUNITY",0
"DIXIE CANYON COMMUNITY CHARTER",0
"DOLORES HUERTA ELEMENTARY SCHOOL",0
"DOLORES STREET EARLY EDUCATION CENTER",0
"DOLORES STREET ELEMENTARY",0
"DOMINGUEZ ELEMENTARY",0
"DOROTHY V JOHNSON COMMUNITY DAY SCHOOL",0
"DORRIS PLACE ELEMENTARY",0
"DOWNTOWN BUSINESS MAGNET",0
"DR JAMES EDWARD JONES PRIMARY CENTER",0
"DR JULIAN NAVA LEARNING ACADEMY",0
"DR LAWRENCE H MOORE MATH SCIENCE TECHNOLOGY ACADEMY",0
"DR MAYA ANGELOU COMMUNITY SENIOR HIGH",0
"DR OWEN LLOYD KNOX ELEMENTARY SCHOOL",0
"DR RICHARD A VLADOVIC HARBOR TEACHER PREPARATION ACADEMY",0
"DR SAMMY LEE ELEMENTARY MEDICAL AND HEALTH SCIENCE MAGNET",0
"DR THEODORE T ALEXANDER JR SCIENCE CENTER SCHOOL",0
"DUKE ELLINGTON CONTINUATION HIGH",0
"DYER STREET ELEMENTARY",0
"E MANFRED EVANS COMMUNITY ADULT SCHOOL",0
"EAGLE ROCK ELEMENTARY",0
"EAGLE ROCK HIGH SCHOOL",0
"EAGLE TREE CONTINUATION HIGH",0
"EARLY COLLEGE ACADEMY - LA TRADE TECH COLLEGE",0
"EAST VALLEY SENIOR HIGH",0
"EAST VALLEY SKILLS CENTER",0
"EASTMAN AVENUE EARLY EDUCATION CENTER",0
"EASTMAN AVENUE ELEMENTARY",0
"EASTSIDE LEARNING CENTER AC2T",0
"EDWARD R ROYBAL LEARNING CENTER",0
"EDWIN MARKHAM MIDDLE SCHOOL",0
"EL DORADO AVENUE ELEMENTARY",0
"EL ORO WAY CHARTER FOR ENRICHED STUDIES",0
"EL SERENO EARLY EDUCATION CENTER",0
"EL SERENO ELEMENTARY",0
"EL SERENO MIDDLE SCHOOL",0
"ELEMENTARY COMMUNITY DAY SCHOOL",0
"ELIZABETH LEARNING CENTER",0
"ELLEN OCHOA LEARNING CENTER",0
"ELYSIAN HEIGHTS ELEMENTARY ARTS MAGNET",0
"EMELITA STREET ELEMENTARY",0
"EMERSON COMMUNITY CHARTER",0
"ENADIA WAY TECHNOLOGY CHARTER",0
"ENCINO CHARTER ELEMENTARY",0
"ERNEST LAWRENCE MIDDLE SCHOOL",0
"ERNEST P WILLENBERG SPECIAL EDUCATION CENTER",0
"ERWIN ELEMENTARY",0
"ESHELMAN AVENUE ELEMENTARY",0
"ESPERANZA ELEMENTARY",0
"ESTEBAN TORRES HS - EAST LOS ANGELES PERFORMING ARTS MAGNET",0
"ESTEBAN TORRES HS - EAST LOS ANGELES RENAISSANCE ACADEMY",0
"ESTEBAN TORRES HS - ENGINEER & TECHNOLOGY ACADEMY",0
"ESTEBAN TORRES HS - HUMANITAS ACADEMY OF ART & TECHNOLOGY",0
"ESTEBAN TORRES HS - SOCIAL JUSTICE LEADERSHIP ACAD MAGNET",0
"ESTHER COLLINS EARLY EDUCATION CENTER",0
"ESTRELLA EARLY EDUCATION CENTER",0
"ESTRELLA ELEMENTARY",0
"ETHEL BRADLEY EARLY EDUCATION CENTER",0
"EUCLID AVENUE ELEMENTARY",0
"EVERGREEN AVENUE EARLY EDUCATION CENTER",0
"EVERGREEN AVENUE ELEMENTARY",0
"EVERGREEN CONTINUATION HIGH",0
"FAIR AVENUE EARLY EDUCATION CENTER",0
"FAIR AVENUE ELEMENTARY",0
"FAIRBURN AVENUE ELEMENTARY",0
"FAIRFAX SENIOR HIGH",0
"FARMDALE ELEMENTARY",0
"FELICITAS AND GONZALO MENDEZ SENIOR HIGH",0
"FERNANGELES ELEMENTARY",0
"FIGUEROA STREET ELEMENTARY",0
"FISHBURN AVENUE ELEMENTARY",0
"FLETCHER DRIVE ELEMENTARY",0
"FLORENCE AVENUE ELEMENTARY",0
"FLORENCE GRIFFITH JOYNER ELEMENTARY",0
"FLORENCE NIGHTINGALE MIDDLE SCHOOL",0
"FORD BOULEVARD ELEMENTARY",0
"FOSHAY LEARNING CENTER",0
"FRANCISCO BRAVO SENIOR HIGH MEDICAL MAGNET",0
"FRANCISCO SEPULVEDA MIDDLE SCHOOL",0
"FRANK DEL OLMO ELEMENTARY",0
"FRANKLIN AVENUE ELEMENTARY",0
"FRIDA KAHLO CONTINUATION HIGH",0
"FRIES AVENUE ELEMENTARY",0
"FULLBRIGHT AVENUE ELEMENTARY",0
"GARDEN GROVE ELEMENTARY",0
"GARDENA EARLY EDUCATION CENTER",0
"GARDENA ELEMENTARY",0
"GARDENA SENIOR HIGH",0
"GARDNER STREET ELEMENTARY",0
"GARVANZA ELEMENTARY TECHNOLOGY/LEADERSHIP MAGNET",0
"GASPAR DE PORTOLA CHARTER MIDDLE",0
"GATES STREET EARLY EDUCATION CENTER",0
"GATES STREET ELEMENTARY",0
"GAULT STREET ELEMENTARY",0
"GEORGE DE LA TORRE JR LAUP",0
"GEORGE ELLERY HALE CHARTER ACADEMY",0
"GEORGE K PORTER MIDDLE SCHOOL",0
"GEORGE S PATTON CONTINUATION HIGH",0
"GEORGE WASHINGTON CARVER MIDDLE SCHOOL",0
"GEORGE WASHINGTON PREPARATORY SENIOR HIGH",0
"GERALD A LAWSON ACADEMY OF THE ARTS MATH SCIENCE ELEMENTARY",0
"GERMAIN ACADEMY FOR ACADEMIC ACHIEVEMENT",0
"GIL GARCETTI LEARNING ACADEMY",0
"GIRLS ACADEMIC LEADERSHIP, DR MICHELLE KING SCHOOL FOR STEM",0
"GLASSELL PARK EARLY EDUCATION CENTER",0
"GLASSELL PARK ELEMENTARY STEAM MAGNET",0
"GLEDHILL STREET EARLY EDUCTION CENTER",0
"GLEDHILL STREET ELEMENTARY",0
"GLEN ALTA ELEMENTARY",0
"GLENFELIZ BOULEVARD EARLY EDUCATION CENTER",0
"GLENFELIZ BOULEVARD ELEMENTARY",0
"GLENN HAMMOND CURTISS MIDDLE SCHOOL",0
"GLENWOOD ELEMENTARY",0
"GRAHAM EARLY EDUCATION CENTER",0
"GRAHAM ELEMENTARY",0
"GRANADA ELEMENTARY",0
"GRAND VIEW BOULEVARD ELEMENTARY",0
"GRANT EARLY EDUCATION CENTER",0
