date,location,region,population,cases,casechange,caserate,deaths,deathrate
2022-04-29,Los Angeles - South Carthay,MLA,10595,2338,2338,22067,9,85
2022-04-29,Los Angeles - South Park,S,37961,14902,14902,39256,127,335
2022-04-29,Los Angeles - St Elmo Village,MLA,4584,1539,1539,33573,46,1003
2022-04-29,Los Angeles - Studio City,SFV,22440,4739,4739,21119,58,258
2022-04-29,Los Angeles - Sun Valley,SFV,52483,18856,18856,35928,193,368
2022-04-29,Los Angeles - Sunland,SFV,20408,5125,5125,25113,80,392
2022-04-29,Los Angeles - Sycamore Square,SFV,647,116,116,17929,2,309
2022-04-29,Los Angeles - Sylmar,SFV,82397,33658,33658,40848,310,376
2022-04-29,Los Angeles - Tarzana,SFV,30876,7736,7736,25055,102,330
2022-04-29,Los Angeles - Temple-Beaudry,MLA,39481,11116,11116,28155,134,339
2022-04-29,Los Angeles - Thai Town,MLA,9809,2221,2221,22642,38,387
2022-04-29,Los Angeles - Toluca Lake,SFV,8704,1733,1733,19910,11,126
2022-04-29,Los Angeles - Toluca Terrace,SFV,1306,361,361,27642,10,766
2022-04-29,Los Angeles - Toluca Woods,SFV,1858,327,327,17600,0,0
2022-04-29,Los Angeles - Tujunga,SFV,27810,6789,6789,24412,94,338
2022-04-29,Los Angeles - University Hills,SGV,3429,720,720,20997,4,117
2022-04-29,Los Angeles - University Park,S,27456,9275,9275,33781,76,277
2022-04-29,Los Angeles - Valley Glen,SFV,30016,8804,8804,29331,98,326
2022-04-29,Los Angeles - Valley Village,SFV,24720,6073,6073,24567,95,384
2022-04-29,Los Angeles - Van Nuys,SFV,93193,30646,30646,32884,425,456
2022-04-29,Los Angeles - Venice,W,33885,6710,6710,19802,29,86
2022-04-29,Los Angeles - Vermont Knolls,S,17200,6190,6190,35988,76,442
2022-04-29,Los Angeles - Vermont Square,S,7657,3140,3140,41008,36,470
2022-04-29,Los Angeles - Vermont Vista,S,41186,15599,15599,37875,128,311
2022-04-29,Los Angeles - Vernon Central,S,51998,21845,21845,42011,195,375
2022-04-29,Los Angeles - Victoria Park,MLA,8399,2314,2314,27551,18,214
2022-04-29,Los Angeles - View Heights,S,3694,761,761,20601,9,244
2022-04-29,Los Angeles - Watts,S,42674,16302,16302,38201,137,321
2022-04-29,Los Angeles - Wellington Square,MLA,4915,1422,1422,28932,13,264
2022-04-29,Los Angeles - West Adams,MLA,27630,8788,8788,31806,176,637
2022-04-29,Los Angeles - West Hills,SFV,40545,8869,8869,21874,141,348
2022-04-29,Los Angeles - West Los Angeles,W,37636,7741,7741,20568,70,186
2022-04-29,Los Angeles - West Vernon,S,53643,20482,20482,38181,238,444
2022-04-29,Los Angeles - Westchester,W,51603,9008,9008,17456,66,128
2022-04-29,Los Angeles - Westlake,MLA,59354,17218,17218,29009,360,607
2022-04-29,Los Angeles - Westwood,W,54109,10419,10419,19256,40,74
2022-04-29,Los Angeles - Wholesale District,MLA,36129,16310,16310,45144,135,374
2022-04-29,Los Angeles - Wilmington,SB,56487,19480,19480,34486,132,234
2022-04-29,Los Angeles - Wilshire Center,MLA,50170,13098,13098,26107,148,295
2022-04-29,Los Angeles - Winnetka,SFV,51785,15386,15386,29711,121,234
2022-04-29,Los Angeles - Woodland Hills,SFV,68056,14770,14770,21703,115,169
2022-04-29,Unincorporated - Acton,AV,7971,1526,1526,19144,17,213
2022-04-29,Unincorporated - Agua Dulce,AV,4158,785,785,18879,6,144
