School name,Community,Community of Schools,Cases among students and staff
"HOPE ST EL","Huntington Park/Vernon Community","Huntington Park/Vernon Community of Schools",0
"HUBBARD EL STEAM MAG","San Fernando Valley/Sylmar Community","San Fernando Valley/Sylmar Community of Schools",1
"HUBBARD ST EL","","",0
"HUERTA EL","Jefferson/South Central (West) Community","Jefferson/South Central (West) Community of Schools",1
"HUGHES EL","Bell/Cudahy/Maywood Community","Bell/Cudahy/Maywood Community of Schools",0
"HUGHES EL PKFLP","","",0
"HUGHES EL STM MAG","","",0
"HUMPHREYS AVE EL","East Los Angeles Community","East Los Angeles Community of Schools",0
"HUMPHREYS AVE EL DTS","","",0
"HUMPHREYS EL STM MAG","","",0
"HUNTINGTON DR EL","Lincoln Heights/El Sereno Community","Lincoln Heights/El Sereno Community of Schools",0
"HUNTINGTON DR EL DTS","","",0
"HUNTINGTON PK DTS","Huntington Park/Vernon Community","Huntington Park/Vernon Community of Schools",0
"HUNTNGTN PK CAS AC2T"," Community"," Community of Schools",0
"HUNTNGTN PK EL","Huntington Park/Vernon Community","Huntington Park/Vernon Community of Schools",3
"HUNTNGTN PK NW EL#7L","","",0
"HUNTNGTN PK SH","","",3
"HUNTNGTN PK SH MAG","","",0
"HYDE PARK EEC","Baldwin Hills/Leimert Park Community","H.E.E.T. (C/D) Community of Schools",0
"INDEPENDENCE DTS","South Gate Community","South Gate Community of Schools",0
"INDEPENDENCE EL","","",1
"INDEPENDENCE HS","Reseda Community","Reseda Community of Schools",2
"INDEPENDENCE STEM MG","South Gate Community","South Gate Community of Schools",1
"INTERNATIONAL ST LC","","",0
"IRVING MS MME MAG","Glassell Park/Los Feliz Community","Glassell Park/Los Feliz Community of Schools",7
"ISAACS AVALON HS","Wilmington Community","Wilmington Community of Schools",0
"IVANHOE EL","Glassell Park/Los Feliz Community","Glassell Park/Los Feliz Community of Schools",1
"JEFFERSON AC2T"," Community"," Community of Schools",0
"JEFFERSON SH","Jefferson/South Central (East) Community","Historic Central Avenue Community of Schools",1
"JOHNSON STEM ACADEMY","Westchester Community","Westchester Community of Schools",0
"JONES EL","Jefferson/South Central (West) Community","Jefferson/South Central (West) Community of Schools",0
"JONES PC","Manual Arts/Vermont Square Community","Manual Arts/Vermont Square Community of Schools",0
"JONES SPS","","",0
"JORDAN SH","South Los Angeles/Watts Community","Fremont Community of Schools",3
"JUSTICE ST ACAD CHTR","Woodland Hills Community","Taft Community of Schools",0
"KAHLO HS","Jefferson/South Central (West) Community","Jefferson/South Central (West) Community of Schools",0
"KENNEDY EL","Lincoln Heights/El Sereno Community","Lincoln Heights/El Sereno Community of Schools",0
"KENNEDY GIFTED/MD MG","Granada Hills/Northridge Community","Kennedy/NAHS/VAAS Community of Schools",1
"KENNEDY SH","","",2
"KENNEDY SH ADDFM MAG","","",0
"KENNEDY SH GLEA MAG","","",1
"KENTER CANYON EC","West LA Community","West LA Community of Schools",0
"KENTWOOD EEC","Westchester Community","Westchester Community of Schools",0
"KENTWOOD EL","","",0
"KESTER AVE EL","Van Nuys/Valley Glen Community","Van Nuys/Valley Glen Community of Schools",3
"KESTER EL GIFTED MAG","","",1
"KIM ACADEMY","Koreatown/Pico Union Community","Kreatwn/PcoUnion Community of Schools",0
"KIM EL","","",0
"KIM EL DOK","","",0
"KIM EL DTS","","",0
"KING JR EL","Manual Arts/Vermont Square Community","Manual Arts/Vermont Square Community of Schools",1
"KING JR EL DTS","","",0
"KING MS ESTEAM MAG","Glassell Park/Los Feliz Community","Glassell Park/Los Feliz Community of Schools",0
"KING MS GIFTED/AT MG","","",3
"KING MS MAG FLM/MDIA","","",0
"KING-DREW SH MD/S MG","Florence-Firestone/Watts Community","Rivera Community of Schools",0
"KINGSLEY EL","Hollywood Community","Hollywood Community of Schools",0
"KINGSLEY EL DTS","","",0
"KIRIYAMA CAS AC2T"," Community"," Community of Schools",0
"KITTRIDGE ST CSPP","Van Nuys/Valley Glen Community","Van Nuys/Valley Glen Community of Schools",0
"KITTRIDGE ST EL","","",0
"KITTRIDGE ST EL DTR","","",0
"KITTRIDGE ST EL DTS","","",0
"KNOLLWOOD PREP ACAD","Granada Hills/Northridge Community","Kennedy/NAHS/VAAS Community of Schools",1
"KNOLLWOOD SPS","","",0
"KNOX EL","Watts/Green Meadows Community","Achievement Network Community of Schools",2
"KNOX EL DTS","","",0
"KNOX EL VAPA MAG","","",1
