date,region,caserate
2021-08-30,"Huntington Park/Vernon Community of Schools",24.194692185114427
2021-08-31,"Fremont Community of Schools",45.055008068942357
2021-08-31,"Achievement Network Community of Schools",45.9146405092351
2021-08-31,"MacArthur Park Community of Schools",36.96382366648988
2021-08-31,"Gardena Community of Schools",21.972388032372653
2021-08-31,"San Pedro Community of Schools",38.407891811033167
2021-08-31,"Boyle Heights Community of Schools",33.601466245799813
2021-08-31,"Jefferson/South Central (West) Community of Schools",38.528685810607428
2021-08-31,"Carson Community of Schools",36.382945248584015
2021-08-31,"Manual Arts/Vermont Square Community of Schools",26.529788338427824
2021-08-31,"LA Mid-City Community of Schools",28.992584002197333
2021-08-31,"Fairfax Community of Schools",19.182321572438841
2021-08-31,"H.E.E.T. (C/D) Community of Schools",36.29358720232279
2021-08-31,"Historic Central Avenue Community of Schools",30.049010973069869
2021-08-31,"East Los Angeles Community of Schools",22.387502798437851
2021-08-31,"South Mid-City Community of Schools",40.330711837063923
2021-08-31,"Rivera Community of Schools",38.846827784573676
2021-08-31,"H.E.E.T. (W) Community of Schools",16.066838046272494
2021-08-31,"Reseda Community of Schools",18.199650162280214
2021-08-31,"Kennedy/NAHS/VAAS Community of Schools",46.359611506455572
2021-08-31,"Canoga Park/Chatsworth Community of Schools",30.494080336654644
2021-08-31,"Lincoln Heights/El Sereno Community of Schools",25.081109070461736
2021-08-31,"Eagle Rock/Highland Park Community of Schools",25.4036978948066
2021-08-31,"Downtown Community of Schools",20.895194105355767
2021-08-31,"Glassell Park/Los Feliz Community of Schools",26.790402606170368
2021-08-31,"Monroe Community of Schools",44.6283296917856
2021-08-31,"Cleveland Community of Schools",38.836111609009983
2021-08-31,"Sunland/Tujunga Community of Schools",39.024897884850532
2021-08-31,"Sun Valley Community of Schools",31.278590586708162
2021-08-31,"Hamilton Community of Schools",23.6541485202243
2021-08-31,"Hollywood Community of Schools",41.858518208455415
2021-08-31,"Wilmington Community of Schools",34.231921266581089
2021-08-31,"Venice Community of Schools",21.191722762403391
2021-08-31,"Bell/Cudahy/Maywood Community of Schools",27.593818984547461
2021-08-31,"North Hollywood/Valley Village Community of Schools",37.991571172349204
2021-08-31,"Kreatwn/PcoUnion Community of Schools",24.601035382706545
2021-08-31,"West LA Community of Schools",21.962816950902123
2021-08-31,"San Fernando Valley/Sylmar Community of Schools",25.278563113254616
2021-08-31,"South Gate Community of Schools",28.388323882387173
2021-08-31,"Panorama City Community of Schools",25.037948140149915
2021-08-31,"Taft Community of Schools",37.775884518317284
2021-08-31,"Van Nuys/Valley Glen Community of Schools",31.567080045095828
2021-08-31,"Harbor City/Lomita Community of Schools",47.987436016751978
2021-08-31,"Westchester Community of Schools",41.746681138849461
